model,variable,OR,CI_low,CI_high,p_value
A,kdigo_stage_1,2.762,2.595,2.94,0.0
A,kdigo_stage_2,5.261,4.775,5.797,0.0
A,kdigo_stage_3,7.029,6.589,7.499,0.0
A,anchor_age,1.036,1.034,1.038,0.0
A,male_num,0.894,0.852,0.938,5e-06
A,com_Cardiac_Arrhythmias,1.28,1.214,1.351,0.0
A,com_Cerebrovascular,1.259,1.193,1.33,0.0
A,com_Chronic_Pulmonary,0.895,0.849,0.944,4.7e-05
A,com_Coagulopathy,1.169,1.106,1.236,0.0
A,com_Congestive_Heart_Failure,0.858,0.809,0.91,0.0
A,com_Diabetes_complicated,0.736,0.676,0.801,0.0
A,com_Diabetes_uncomplicated,0.929,0.86,1.003,0.059057
A,com_Fluid/Electrolyte,1.276,1.199,1.358,0.0
A,com_Hypertension,0.588,0.554,0.624,0.0
A,com_Liver_Disease,1.59,1.496,1.691,0.0
A,com_Metastatic_Cancer,1.547,1.415,1.691,0.0
A,com_Myocardial_Infarction,1.013,0.954,1.076,0.674637
A,com_Obesity,0.701,0.645,0.761,0.0
A,com_Peptic_Ulcer,0.661,0.599,0.729,0.0
A,com_Peripheral_Vascular,0.769,0.724,0.817,0.0
A,com_Sepsis,1.805,1.713,1.902,0.0
A,com_Solid_Tumor_non-met,1.1,1.024,1.181,0.008755
A,com_Valvular_Disease,0.621,0.582,0.663,0.0
B,kdigo_stage_1,1.885,1.765,2.013,0.0
B,kdigo_stage_2,2.978,2.688,3.3,0.0
B,kdigo_stage_3,2.881,2.664,3.115,0.0
B,anchor_age,1.038,1.036,1.04,0.0
B,male_num,0.765,0.727,0.804,0.0
B,com_Cardiac_Arrhythmias,1.23,1.164,1.301,0.0
B,com_Cerebrovascular,1.398,1.321,1.48,0.0
B,com_Chronic_Pulmonary,0.982,0.929,1.038,0.52407
B,com_Coagulopathy,0.91,0.858,0.966,0.001796
B,com_Congestive_Heart_Failure,1.041,0.98,1.106,0.192268
B,com_Diabetes_complicated,0.889,0.815,0.969,0.00787
B,com_Diabetes_uncomplicated,0.869,0.803,0.94,0.000443
B,com_Fluid/Electrolyte,1.194,1.12,1.273,0.0
B,com_Hypertension,0.632,0.594,0.673,0.0
B,com_Liver_Disease,1.164,1.089,1.244,8e-06
B,com_Metastatic_Cancer,1.947,1.773,2.139,0.0
B,com_Myocardial_Infarction,1.025,0.964,1.091,0.424578
B,com_Obesity,0.719,0.66,0.783,0.0
B,com_Peptic_Ulcer,0.709,0.64,0.785,0.0
B,com_Peripheral_Vascular,0.806,0.757,0.858,0.0
B,com_Sepsis,1.598,1.512,1.69,0.0
B,com_Solid_Tumor_non-met,1.199,1.113,1.292,2e-06
B,com_Valvular_Disease,0.559,0.524,0.597,0.0
B,sofa_imputed,1.333,1.318,1.349,0.0
B,mech_vent,0.441,0.407,0.478,0.0
B,vasopressor,0.66,0.614,0.709,0.0
B,ckd_icd,0.62,0.582,0.66,0.0
